relative_path,size_bytes,extension,classification,likely_role
Stata/log/2015.04.20.log,47544,log,archive only,other archive material
Stata/log/2015.04.20_am.log,467,log,archive only,other archive material
Stata/log/2015.04.21.log,29232,log,archive only,other archive material
Stata/log/2015.04.22.log,20344,log,archive only,other archive material
Stata/log/2015.04.23.log,124593,log,archive only,other archive material
Stata/log/2015.04.25.log,66707,log,archive only,other archive material
Stata/log/2015.04.27.do,1916,do,archive only,analysis code
Stata/log/2015.04.27.log,23040,log,archive only,other archive material
Stata/log/2015.05.13.log,172160,log,archive only,other archive material
Stata/log/2015.05.14.log,82459,log,archive only,other archive material
Stata/log/2015.05.15.log,118940,log,archive only,other archive material
Stata/log/2015.05.19.log,16933,log,archive only,other archive material
Stata/log/2015.05.20.log,15954,log,archive only,other archive material
Stata/log/halliday_2017.01.30.txt,69647,txt,archive only,other archive material
Stata/log/simon_2017.02.06.txt,12421,txt,archive only,other archive material
Stata/merged_treatment_control.dta,84298,dta,include,data or experiment output
Stata/mlgits.txt,513,txt,archive only,other archive material
Stata/mlogits.doc,49682,doc,archive only,other archive material
Stata/mlogits.txt,549,txt,archive only,other archive material
Stata/mlogits_pooled.doc,1910,doc,archive only,other archive material
Stata/mlogits_pooled.txt,716,txt,archive only,other archive material
Stata/mlogtits.txt,460,txt,archive only,other archive material
Stata/punish_dum.eps,17319,eps,archive only,other archive material
Stata/results.xlsx,2657,xlsx,archive only,data or experiment output
Stata/tppdata.csv,958223,csv,archive only,data or experiment output
Stata/tppdata.out,958223,out,archive only,other archive material
articles/120616_exploitation_Nikiforakis_2013_published version.pdf,1288537,pdf,archive only,literature/reference material
articles/120616_exploitation_dp_jebo2013.pdf,297721,pdf,archive only,literature/reference material
articles/20130726_001527_BARLING-ETAL.pdf,2281526,pdf,archive only,literature/reference material
articles/201411IntrinsicValueDecRights.pdf,693087,pdf,archive only,literature/reference material
articles/A09_Wiederhold.pdf,490240,pdf,archive only,literature/reference material
articles/A09_Wiederhold_Sept 2012_updated version.pdf,650810,pdf,archive only,literature/reference material
articles/Boly_2011.pdf,414578,pdf,archive only,literature/reference material
articles/DickinsonVillevalMonitoringGEB2008.pdf,391163,pdf,archive only,literature/reference material
articles/Dufwenberg_Kirschsteiger - 2004 - T. Sequential Reciprocity.pdf,361815,pdf,archive only,literature/reference material
