Experiment,Location,Treatment,Session,Pair,Subject,Role,x_C,x_NC,x_actual,Payoff,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,20,10,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,15,35,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,40,50,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,12,12,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,25,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,5,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,35,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,10,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,35,45,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,10,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,30,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,14,7,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,12,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,40,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,13,24,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,18,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,25,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,10,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,29,31,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,35,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,18,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,30,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,20,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,40,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,35,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,25,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,11,40,NA,NA,,,,
